[2025-10-23T12:03:12.268Z] ERROR: Validation failed [{"type":"field","value":"12345678","msg":"Password must contain at least one lowercase letter, one uppercase letter, and one number","path":"password","location":"body"}]
[2025-10-23T12:14:42.023Z] ERROR: Login Validation failed [{"type":"field","value":"","msg":"Email or username is required","path":"identifier","location":"body"}]
[2025-10-23T13:02:44.244Z] ERROR: User not found
[2025-10-23T13:02:44.245Z] ERROR: User authentication failed
[2025-10-23T13:02:44.247Z] ERROR: Login error
[2025-10-23T13:03:31.852Z] ERROR: User not found
[2025-10-23T13:03:31.853Z] ERROR: User authentication failed
[2025-10-23T13:03:31.855Z] ERROR: Login error
[2025-10-23T23:21:49.556Z] ERROR: Failed to save log {"errors":{"userId":{"name":"ValidatorError","message":"Path `userId` is required.","properties":{"message":"Path `userId` is required.","type":"required","path":"userId","value":null},"kind":"required","path":"userId","value":null}},"_message":"log validation failed","name":"ValidationError","message":"log validation failed: userId: Path `userId` is required."}
[2025-10-23T23:21:49.565Z] ERROR: Failed to save log {"errors":{"userId":{"name":"ValidatorError","message":"Path `userId` is required.","properties":{"message":"Path `userId` is required.","type":"required","path":"userId","value":null},"kind":"required","path":"userId","value":null}},"_message":"log validation failed","name":"ValidationError","message":"log validation failed: userId: Path `userId` is required."}
[2025-10-24T00:13:33.772Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.856Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.897Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.987Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.991Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.133Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.137Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.294Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.299Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.478Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.481Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.704Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.707Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.984Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.985Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.309Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.311Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.676Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.680Z] ERROR: Redis Client Error
[2025-10-24T04:57:46.293Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:46.805Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:47.318Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:47.832Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:48.347Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:48.864Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:49.377Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:49.894Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:50.410Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:50.925Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:51.439Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:51.942Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:52.457Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:52.968Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:53.487Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:53.991Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:54.499Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:55.012Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:55.556Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:56.100Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:56.618Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:57.129Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:57.642Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:58.156Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:58.669Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:59.182Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:59.694Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:00.208Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:00.722Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:01.237Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:01.756Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:02.266Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:02.780Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:03.290Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:03.801Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:04.314Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:04.831Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:05.337Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:05.849Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:06.364Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:06.879Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:07.392Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:07.897Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:08.412Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:08.930Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:09.445Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:09.961Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:10.474Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:10.987Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:11.501Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:12.017Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:12.532Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:13.046Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:13.564Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:14.075Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:14.589Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:15.093Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:15.604Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:16.121Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:16.635Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:17.148Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:17.666Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:18.184Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:18.697Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:19.213Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:19.721Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:20.236Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:20.752Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:21.270Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:21.785Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:22.300Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:22.814Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:23.331Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:23.846Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:24.363Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:24.877Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:25.394Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:25.909Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:26.423Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:26.932Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:27.444Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:27.959Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:28.473Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:28.990Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:29.502Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:30.016Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:30.530Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:31.046Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:31.560Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:32.073Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:32.591Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:33.109Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:33.625Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:34.139Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:34.653Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:35.167Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:35.683Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:36.197Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:36.710Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:37.227Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:37.742Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:38.257Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:38.771Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:39.287Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:39.801Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:40.313Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:40.829Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:41.346Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:41.860Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:42.378Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:42.890Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:43.404Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:43.921Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:44.436Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:44.950Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:45.459Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:45.974Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:46.490Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:47.004Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:47.522Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:48.039Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:48.553Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:49.069Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:49.586Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:50.088Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:50.603Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:51.119Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:51.633Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:52.143Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:52.660Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:53.175Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:53.687Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:54.203Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:54.719Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:55.222Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:55.736Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:56.253Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:56.765Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:57.280Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:57.795Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:58.311Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:58.824Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:59.336Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:58:59.853Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:00.369Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:00.887Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:01.402Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:01.914Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:02.429Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:02.932Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:03.443Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:03.958Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:04.474Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:04.984Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:05.496Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:06.012Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:06.527Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:07.043Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:07.560Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:08.073Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:08.585Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:09.101Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:09.620Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:10.131Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:10.641Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:11.158Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:11.672Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:12.187Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:12.703Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:13.221Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:13.734Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:14.253Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:14.769Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:15.278Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:15.782Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:16.295Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:16.801Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:17.315Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:17.828Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:18.343Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:18.859Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:19.361Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:19.876Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:20.388Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:20.905Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:21.420Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:21.937Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:22.452Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:22.967Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:23.482Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:23.998Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:24.500Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:25.014Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:25.529Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:26.048Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:26.564Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:27.076Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:27.591Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:28.104Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:28.616Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:29.131Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:29.647Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:30.160Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:30.669Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:31.182Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:31.695Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:32.212Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:32.726Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:33.244Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:33.762Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:34.276Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:34.793Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:35.310Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:35.819Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:36.337Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:36.852Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:37.366Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:37.880Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:38.395Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:38.911Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:39.427Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:39.941Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:40.458Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:40.970Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:41.494Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:42.015Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:42.538Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:43.048Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:43.559Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:44.080Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:44.592Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:45.105Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:45.628Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:46.171Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:46.682Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:47.194Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:47.708Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:48.222Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:48.736Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:49.254Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:49.767Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:50.279Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:50.788Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:51.302Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:51.819Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:52.327Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:52.841Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:53.353Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:53.865Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:54.378Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:54.887Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:55.398Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:55.911Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:56.424Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:56.937Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:57.452Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:57.967Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:58.482Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:59.001Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:59:59.517Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:00.032Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:00.547Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:01.061Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:01.574Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:02.087Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:02.641Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:03.149Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:03.668Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:04.181Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:04.711Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T05:00:05.235Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
